id,diretoria,pai_setor,setor,nome_setor,categoria_hub,subcategoria_geo,nat,tipo,situacao_2024,centro_custo,cod_ua,endereco,bairro,cep,telefones,emails,latitude,longitude,street_view,como_chegar,flag_geo,regra_classificacao,observacao,global_id
59,DLU,SG06L,SG06J,Gerência Adjunta Jardim Botânico,Operacional,Unidade operacional,OP,GERÊNCIA ADJUNTA,Unid. Oper.,41093000,15038.0,"Rua Jardim Botânico, 51",Jardim Botânico,22470-050,98094-7245,lfdos@prefeitura.rio / dss.sg06l@gmail.com,-22.96047122120618,-43.20442867396416,"http://maps.google.com/maps?q=&layer=c&cbll=-22.96047122,-43.20442867",,OK,"Natureza OP, unidade operacional ou diretoria operacional",,{E2736F5C-0D7E-483F-BFC4-27CF14DC3C93}
60,DLU,SG04B,SD04U,Divisão de Serviços Urca,Operacional,Unidade operacional,OP,DIVISÃO,Unid. Oper.,41061000,14942.0,"Rua Doutor Xavier Sigaud, 225",Urca,22290-180,99974-5245,dss.sg04b@gmail.com,-22.95503462344134,-43.17299610564154,"http://maps.google.com/maps?q=&layer=c&cbll=-22.95503462,-43.17299611",,OK,"Natureza OP, unidade operacional ou diretoria operacional",,{D0EE37BA-D615-4AF6-8B9C-23362CFF523E}
61,DLU,LRS,SG04B,Gerência Botafogo,Operacional,Unidade operacional,OP,GERÊNCIA,Unid. Oper.,41060000,14941.0,"Rua Professor Álvaro Rodrigues, 420",Botafogo,22280-040,980944743 / 966698865,dss.sg04b@gmail.com,-22.9526461980566,-43.184845399872,"http://maps.google.com/maps?q=&layer=c&cbll=-22.9526462,-43.1848454",,OK,"Natureza OP, unidade operacional ou diretoria operacional",,{B7138499-E2BD-498F-9A81-FCC041CC1E66}
62,DLU,BG16F,BD16C,Divisão de Serviços Curicica,Operacional,Unidade operacional,OP,DIVISÃO,Unid. Oper.,46051000,18858.0,Rua João Bruno Lobo,Curicica,22780805,982985092,rasrussel@prefeitura.rio / bg16cdsb@gmail.com,-22.95402760313921,-43.38247476327668,"http://maps.google.com/maps?q=&layer=c&cbll=-22.9540276,-43.38247476",,OK,"Natureza OP, unidade operacional ou diretoria operacional",,{910CB516-E18A-4FD0-9FDE-0FF4FCF0352B}
63,DSU,UGP,UGP06,Gerência Adjunta de Limpeza Predial 6,Operacional,Setor virtual / referência,,VIRTUAL,Limp. Pred.,44130906,45295.0,"Rua São Clemente, 360",Botafogo,22260-006,,,-22.95001892279241,-43.19421150541718,"http://maps.google.com/maps?q=&layer=c&cbll=-22.95001892,-43.19421151",,OK,"Natureza OP, unidade operacional ou diretoria operacional","Setor virtual: pode aparecer como apoio/hierarquia, não necessariamente como ponto físico.",{14AD7F10-02E6-4463-B4F0-732575C1154B}
64,DSU,UCS,UDS-S,Divisão de Coleta Seletiva Sul,Operacional,Coleta seletiva / cooperativas,OP,DIVISÃO,"Unid. Oper., Col. Seletiva",44120100,43622.0,"Rua Pinheiro Machado, 31",Laranjeiras,22231-090,98094-4862,renato.ausilva@prefeitura.rio,-22.93414888978065,-43.18406386647316,"http://maps.google.com/maps?q=&layer=c&cbll=-22.93414889,-43.18406387",,OK,"Natureza OP, unidade operacional ou diretoria operacional",,{09338A23-8CC3-4B6A-A7B7-94B3A8C68543}
65,DLU,SG04B,SG04F,Gerência Adjunta Parque do Flamengo,Operacional,Unidade operacional,OP,GERÊNCIA ADJUNTA,Unid. Oper.,41066000,48878.0,"Praia do Flamengo, S/N",Flamengo,22210-030,980946523 / 974868602,dss.sg04b@gmail.com,-22.93029358687725,-43.17373324070581,"http://maps.google.com/maps?q=&layer=c&cbll=-22.93029359,-43.17373324",,OK,"Natureza OP, unidade operacional ou diretoria operacional",,{773E04C4-EACF-42DA-AF01-A9A9D5C6BB35}
66,DLU,DLU,LGL,Gerência de Manutenção de Máquinas Leves,Manutenção,Manutenção / frota / logística,OP,GERÊNCIA,"Unid. Adm., Unid. Oper.",40030000,52371.0,"Estrada do Magarça, 1",Campo Grande,23035-380,980945268,marco.anmarques@prefeitura.rio / comlurbmacm@gmail.com,-22.93323884963512,-43.5751184759561,"http://maps.google.com/maps?q=&layer=c&cbll=-22.93323885,-43.57511848",,OK,"Termos de frota, manutenção, oficina ou logística",,{5C247DD6-1A60-402C-B080-62EA76B0C403}
67,DLU,SG04B,SD04C,Divisão de Serviços Catete,Operacional,Unidade operacional,OP,DIVISÃO,Unid. Oper.,41064000,16017.0,"Rua Barão de Guaratiba, 27",Glória,22211-150,964068380 / 980944079,dss.sg04b@gmail.com,-22.92361686926309,-43.17639225394678,"http://maps.google.com/maps?q=&layer=c&cbll=-22.92361687,-43.17639225",,OK,"Natureza OP, unidade operacional ou diretoria operacional",,{0D3A456E-8824-4752-BEA3-5198AEB817DE}
68,DLU,LGE,LDS,Divisão de Remoção Sul,Apoio,Convênio SMS,OP,DIVISÃO,"Unid. Oper., Conv. SMS",40020300,14893.0,"Avenida Paulo de Frontin, 448",Rio Comprido,20261-242,21964288404,adriano.barros@prefeitura.rio / comlurb_ads@rio.rj.gov.br  / adriano.barros@prefeitura.rio,-22.92273960519043,-43.21010560255497,"http://maps.google.com/maps?q=&layer=c&cbll=-22.92273961,-43.2101056",,OK,"Órgão externo, convênio ou unidade de apoio",Convênio/estrutura externa: avaliar se entra como camada própria no HUB.,{5E37317F-BCD5-427A-B7F4-C38F74CF948D}
69,DLU,OG18V,OD18S,Divisão de Serviços Santíssimo,Operacional,Unidade operacional,OP,DIVISÃO,Unid. Oper.,43091000,15014.0,"Rua Beira Rio, S/N, Jardim Mangueiral",Campo Grande,23073790,98713-0404,rodolfosgouvea@prefeitura.rio / og18s@yahoo.com.br,-22.92527159987989,-43.55609215823841,"http://maps.google.com/maps?q=&layer=c&cbll=-22.9252716,-43.55609216",,OK,"Natureza OP, unidade operacional ou diretoria operacional",,{3D3BAC9E-B3ED-4EE9-8B6B-FF02A2F2ADDE}
70,DLU,LRO,OG19C,Gerência Santa Cruz,Operacional,Unidade operacional,OP,GERÊNCIA,Unid. Oper.,43040000,15015.0,"Avenida Isabel, 388",Santa Cruz,23550-064,96402-8003,comlurb.og19santacruz@gmail.com,-22.92566045966372,-43.69010283232338,"http://maps.google.com/maps?q=&layer=c&cbll=-22.92566046,-43.69010283",,OK,"Natureza OP, unidade operacional ou diretoria operacional",,{8D24C49F-4E3F-49E0-8FB9-00500102C58A}
71,DSU,UGU,UGU-O,Gerência de Conservação e Revitalização de Mobiliário Urbano Oeste,Operacional,Ecoponto,,VIRTUAL,Unid. Oper. (ECOPONTO),44160005,48866.0,"Rua São Tomé, 171",Santa Cruz,23550-140,,,-22.92461677624939,-43.6946546174276,"http://maps.google.com/maps?q=&layer=c&cbll=-22.92461678,-43.69465462",,OK,"Natureza OP, unidade operacional ou diretoria operacional","Setor virtual: pode aparecer como apoio/hierarquia, não necessariamente como ponto físico.",{DE00D106-6743-4DAA-A3FA-DC404C6C3E36}
72,COML20,COML20M,COML20D0,Convênio SMS/COMLURB Divisão Operacional 10,Apoio,Convênio SMS,,ÓRGÃO EXTERNO,Conv. SMS,82021000,,"Rua Fernanda, 155",Santa Cruz,23515-120,,,-22.92052561710188,-43.68481963083002,"http://maps.google.com/maps?q=&layer=c&cbll=-22.92052562,-43.68481963",,OK,"Órgão externo, convênio ou unidade de apoio",Convênio/estrutura externa: avaliar se entra como camada própria no HUB.,{5985E0A6-2042-4845-BA60-670E5CFAFDE7}
73,DSU,UCP,UGP,Gerência Adjunta de Limpeza Predial,Operacional,Unidade operacional,OP,GERÊNCIA ADJUNTA,Limp. Pred.,44130900,45295.0,"Rua Afonso Cavalcanti, 455, Bloco 2 - 12º andar",Cidade Nova,20211-110,2088-2272,limpezapredial.ugp@gmail.com,-22.91170220631935,-43.20509342727443,"http://maps.google.com/maps?q=&layer=c&cbll=-22.91170221,-43.20509343",,OK,"Natureza OP, unidade operacional ou diretoria operacional",,{8C679BE9-BB58-4ADB-A4EF-33A4C6087FB4}
74,DLU,OG19C,OD19P,Divisão de Serviços Paciência,Operacional,Unidade operacional,OP,DIVISÃO,Unid. Oper.,43043000,16048.0,"Rua Lídice, 130",Paciência,23580131,97030-2156,comlurb_od19p@rio.rj.gov.br,-22.91551666643992,-43.63658120769556,"http://maps.google.com/maps?q=&layer=c&cbll=-22.91551667,-43.63658121",,OK,"Natureza OP, unidade operacional ou diretoria operacional",,{7E112FB5-1013-4295-A270-A9A9E508DF56}
75,DLU,SG07S,SD07Q,Divisão Parque Quinta da Boa Vista,Operacional,Unidade operacional,OP,DIVISÃO,Unid. Oper.,41043000,48877.0,"Avenida Bartolomeu de Gusmão, S/N",São Cristóvão,20941-160,980944057 / 985740429,dss.sg07s@gmail.com,-22.9082103497035,-43.22712011804102,"http://maps.google.com/maps?q=&layer=c&cbll=-22.90821035,-43.22712012",,OK,"Natureza OP, unidade operacional ou diretoria operacional",,{7EC80342-995A-47D1-83F0-850D08213EF9}
76,DLU,SG02C,SD02M,Divisão de Serviços Museu Histórico Nacional,Operacional,Unidade operacional,OP,DIVISÃO,Unid. Oper.,41021000,14930.0,"Avenida General Justo, S/N, Frente o III COMAR",Centro,20021-200,99564-4136,ronaldo.passos@prefeitura.rio / dss.sg02c@gmail.com,-22.90679537746044,-43.16882843925452,"http://maps.google.com/maps?q=&layer=c&cbll=-22.90679538,-43.16882844",,OK,"Natureza OP, unidade operacional ou diretoria operacional",,{5E851392-14BE-43D6-8974-743C6043D80F}
77,DLU,DLU,LRS,Superintendência Regional Sul,Apoio,Ecoponto,OP,SUPERINTENDENCIA,"Unid. Oper. (ECOPONTO), Conv. SMS",41000000,48751.0,"Rua República do Líbano, 54",Centro,20061-030,98094-6554 / 98167-5993 / 98094-5363,robson.coutinho@prefeitura.rio / comlurb.superintendenciasul@gmail.com / carreira.gabriel@gmail.com / franciscolmorais@gmail.com,-22.90631544117359,-43.18560896876186,"http://maps.google.com/maps?q=&layer=c&cbll=-22.90631544,-43.18560897",,OK,"Órgão externo, convênio ou unidade de apoio",Convênio/estrutura externa: avaliar se entra como camada própria no HUB.,{FC22702F-6792-406B-B0C2-4A3719F6E4DD}
78,COML20,COM,COML20,Convênio SMS/COMLURB,Apoio,Convênio SMS,,ÓRGÃO EXTERNO,Conv. SMS,82000000,,"Rua Melo e Souza, 142",São Cristóvão,20941-110,,,-22.90598798437214,-43.21138320541668,"http://maps.google.com/maps?q=&layer=c&cbll=-22.90598798,-43.21138321",,OK,"Órgão externo, convênio ou unidade de apoio",Convênio/estrutura externa: avaliar se entra como camada própria no HUB.,{819191AA-B438-4FB9-9064-22104A0686DD}
79,DLU,LRS,SG07S,Gerência São Cristóvão,Operacional,Unidade operacional,OP,GERÊNCIA,Unid. Oper.,41040000,14938.0,"Rua Catalão, S/N, Quinta da Boa Vista",São Cristóvão,20910-130,980944057 / 985740429,marcospsilva@prefeitura.rio / dss.sg07s@gmail.com,-22.90200422145521,-43.22771300612852,"http://maps.google.com/maps?q=&layer=c&cbll=-22.90200422,-43.22771301",,OK,"Natureza OP, unidade operacional ou diretoria operacional",,{B6FB824F-204C-4A9C-8C67-67E63E520042}
80,DLU,LRS,SG01P,Gerência Portuária,Operacional,Unidade operacional,OP,GERÊNCIA,Unid. Oper.,41010000,14927.0,"Rua Waldemar Dutra, 67",Santo Cristo,20220-780,980945297 / 97935-9201,anderson.figueredo@prefeitura.rio / dss.sg01p@gmail.com,-22.90080433723076,-43.20029642365723,"http://maps.google.com/maps?q=&layer=c&cbll=-22.90080434,-43.20029642",,OK,"Natureza OP, unidade operacional ou diretoria operacional",,{25D70ACA-3539-48F9-8E8F-1F10BA9C97AB}
81,DLU,LRO,OG18V,Gerência Senador Vasconcelos,Operacional,Unidade operacional,OP,GERÊNCIA,Unid. Oper.,43090000,38163.0,Avenida Maria Teresa,Campo Grande,23050160,98865-1016,ps.souza@prefeitura.rio / comlurb.og18senadorvasconcelos@gmail.com,-22.90450325658823,-43.56602752528077,"http://maps.google.com/maps?q=&layer=c&cbll=-22.90450326,-43.56602753",,OK,"Natureza OP, unidade operacional ou diretoria operacional",,{3F295E79-5C8D-41A1-9E3A-2C891DC91464}
82,DLU,LGL,LDL-SN,Divisão de Manutenção Sul-Norte,Manutenção,Convênio SMS,OP,DIVISÃO,"Unid. Oper., Conv. SMS",40030200,48861.0,"Rua Rio Grande do Sul, 26",Méier,20775-100,2088-1391 / 993460805,jair.lopes@prefeitura.rio / comlurb.vdm01@gmail.com,-22.89861969235159,-43.27637474506928,"http://maps.google.com/maps?q=&layer=c&cbll=-22.89861969,-43.27637475",,OK,"Termos de frota, manutenção, oficina ou logística",,{A8B944E0-E036-4359-90A3-684D34C3B8E1}
83,DLU,BG16J,BD16S,Divisão de Serviços Praça Seca,Operacional,Unidade operacional,OP,DIVISÃO,Unid. Oper.,46041000,17890.0,"Praça Barão da Taquara, 9",Praça Seca,21321010,964750182,bg16sdsb@gmail.com,-22.89768458857034,-43.35134813868193,"http://maps.google.com/maps?q=&layer=c&cbll=-22.89768459,-43.35134814",,OK,"Natureza OP, unidade operacional ou diretoria operacional",,{B31B0A96-809C-4FB4-9C7B-89182E192E47}
84,COML20,COML20M,COML20D9,Convênio SMS/COMLURB Divisão Operacional 9,Apoio,Convênio SMS,,ÓRGÃO EXTERNO,Conv. SMS,82020900,,"Antiga Estrada Rio São Paulo, 176",Campo Grande,23087-000,,,-22.8947564198862,-43.55942189139981,"http://maps.google.com/maps?q=&layer=c&cbll=-22.89475642,-43.55942189",,OK,"Órgão externo, convênio ou unidade de apoio",Convênio/estrutura externa: avaliar se entra como camada própria no HUB.,{9FED4379-F228-46A3-A56B-7A9492FA83F3}
85,COML20,COML20M,COML20D5,Convênio SMS/COMLURB Divisão Operacional 5,Apoio,Convênio SMS,,ÓRGÃO EXTERNO,Conv. SMS,82020500,,"Rua Honório, 461",Todos os Santos,20771-420,,,-22.89195084959898,-43.2834824177182,"http://maps.google.com/maps?q=&layer=c&cbll=-22.89195085,-43.28348242",,OK,"Órgão externo, convênio ou unidade de apoio",Convênio/estrutura externa: avaliar se entra como camada própria no HUB.,{525EB693-E42E-4453-B03B-213EA083A5CC}
86,DLU,OG33R,OD33J,Divisão de Serviços Jardim Novo Realengo,Operacional,Ecoponto,OP,DIVISÃO,Unid. Oper. (ECOPONTO),43171000,15008.0,"Avenida Frederico Faulhaber, S/N",Realengo,21760000,99422-8018,mauriciocoliveira@prefeitura.rio / og33jdso@yahoo.com.br,-22.88801042902498,-43.41799414961072,"http://maps.google.com/maps?q=&layer=c&cbll=-22.88801043,-43.41799415",,OK,"Natureza OP, unidade operacional ou diretoria operacional",,{546F099A-7665-442E-983B-DAE528AE2644}
87,COML20,COML20M,COML20D8,Convênio SMS/COMLURB Divisão Operacional 8,Apoio,Convênio SMS,,ÓRGÃO EXTERNO,Conv. SMS,82020800,,"Rua Silva Cardoso, 349",Bangu,21810-030,,,-22.87872457339292,-43.46342195352864,"http://maps.google.com/maps?q=&layer=c&cbll=-22.87872457,-43.46342195",,OK,"Órgão externo, convênio ou unidade de apoio",Convênio/estrutura externa: avaliar se entra como camada própria no HUB.,{CB56461F-7051-4E92-A8E5-9FF63BF1D7D0}
88,DLU,NG15M,ND15C,Divisão de Serviços Cascadura,Operacional,Unidade operacional,OP,DIVISÃO,Unid. Oper.,45071000,14983.0,"Rua Gaspar Viana, 4",Engenheiro Leal,21380-420,98094-4318,fabio.aguiar@prefeitura.rio / dsn.ng15c@gmail.com,-22.8769451256891,-43.32262899904864,"http://maps.google.com/maps?q=&layer=c&cbll=-22.87694513,-43.322629",,OK,"Natureza OP, unidade operacional ou diretoria operacional",,{68A5EC92-F890-40D6-AB84-842D2919D925}
89,DLU,LRN,NG15M,Gerência Madureira,Operacional,Ecoponto,OP,GERÊNCIA,Unid. Oper. (ECOPONTO),45070000,14982.0,"Rua João Pereira, 63",Madureira,21350-250,98094-6512,pcesanto@prefeitura.rio / dsn.ng15m@gmail.com,-22.87495873791799,-43.3346215080916,"http://maps.google.com/maps?q=&layer=c&cbll=-22.87495874,-43.33462151",,OK,"Natureza OP, unidade operacional ou diretoria operacional",,{1DB71324-AA89-4990-BE0E-7F0FAFE81E5B}
90,PRE,PRE,PGI,Gerência Setorial de Auditoria,Presidência,Convênio SMS,ADM,GERÊNCIA,"Unid. Adm., Unid. Oper., Conv. SMS",10010000,14830.0,"Rua Major Ávila, 358",Tijuca,20540-903,2214-0222,,-22.92040663262603,-43.23310289783324,"http://maps.google.com/maps?q=&layer=c&cbll=-22.92040663,-43.2331029",,OK,Diretoria PRE ou termo de governança/presidência,,{AAD200DB-4E24-4154-B7B4-A2FAFD0E7A84}
91,DLU,LRO,OG33R,Gerência Realengo,Operacional,Ecoponto,OP,GERÊNCIA,Unid. Oper. (ECOPONTO),43170000,15007.0,"Rua Bernardo de Vasconcelos, 1746",Realengo,21715252,97567-3592,walmirmsilva@prefeitura.rio / comlurb.og33realengo@gmail.com,-22.87527325125115,-43.43838590656026,"http://maps.google.com/maps?q=&layer=c&cbll=-22.87527325,-43.43838591",,OK,"Natureza OP, unidade operacional ou diretoria operacional",,{8B752DA3-19E7-4476-A67C-486D0FBBCC6D}
92,DLU,LRO,OG17B,Gerência Bangu,Operacional,Unidade operacional,OP,GERÊNCIA,Unid. Oper.,43010000,15003.0,"Rua Falcão Padilha, 261",Bangu,21870160,99399-3452,orlando.siciliano@prefeitura.rio / comlurb.og17bangu@gmail.com,-22.87284816907539,-43.46253262139737,"http://maps.google.com/maps?q=&layer=c&cbll=-22.87284817,-43.46253262",,OK,"Natureza OP, unidade operacional ou diretoria operacional",,{60CE2B47-074C-48FC-B72C-F943F90075E1}
93,DSU,UCP,UGE-N,Gerência Adjunta de Serviços em Escolas Norte,Apoio,Convênio SMS,OP,GERÊNCIA ADJUNTA,"Unid. Oper., Conv. SMS",44130200,45287.0,"Avenida General Osvaldo Cordeiro de Farias, 326",Marechal Hermes,21610-480,98094-0987,ffmsilva@prefeitura.rio,-22.86409604993901,-43.37347904480126,"http://maps.google.com/maps?q=&layer=c&cbll=-22.86409605,-43.37347904",,OK,"Órgão externo, convênio ou unidade de apoio",Convênio/estrutura externa: avaliar se entra como camada própria no HUB.,{679C6CD8-0C32-47B5-87E5-C722C1C0B683}
94,DLU,LRN,NG22A,Gerência Anchieta,Operacional,Ecoponto,OP,GERÊNCIA,Unid. Oper. (ECOPONTO),45140000,14988.0,"Estrada do Camboatá, 356",Deodoro,21670-511,98094-5730,marcos.nogueira@prefeitura.rio / dsn.ng22a@gmail.com,-22.85102875948186,-43.38345392693636,"http://maps.google.com/maps?q=&layer=c&cbll=-22.85102876,-43.38345393",,OK,"Natureza OP, unidade operacional ou diretoria operacional",,{55B001E4-D074-4016-BDFF-1A82595E05FC}
95,DLU,OG17B,OD17V,Divisão de Serviços Vila Catiri,Operacional,Ecoponto,OP,DIVISÃO,"Unid. Oper. (ECOPONTO), Coop. Catadores",43011000,15004.0,"Rua Roque Barbosa, 390",Bangu,21863425,985106195,expeditoirodrigues@prefeitura.rio / og17vdso@yahoo.com.br,-22.85069745242878,-43.46373231517114,"http://maps.google.com/maps?q=&layer=c&cbll=-22.85069745,-43.46373232",,OK,"Natureza OP, unidade operacional ou diretoria operacional",,{125666DE-71F3-4B6C-A127-EF740911C53D}
96,COML20,COML20M,COML20D4,Convênio SMS/COMLURB Divisão Operacional 4,Apoio,Convênio SMS,,ÓRGÃO EXTERNO,"Conv. SMS, Ex. Ocup.",82020400,,"Rua Filomena Nunes, 1071",Olaria,21021-380,,,-22.84372378720127,-43.2665321856739,"http://maps.google.com/maps?q=&layer=c&cbll=-22.84372379,-43.26653219",,OK,"Órgão externo, convênio ou unidade de apoio",Convênio/estrutura externa: avaliar se entra como camada própria no HUB.,{CC628E9B-7C42-4998-AEC2-A977486EA703}
97,DLU,NG22A,ND22R,Divisão de Serviços Ricardo de Albuquerque,Operacional,Unidade operacional,OP,DIVISÃO,Unid. Oper.,45141000,14990.0,"Rua Salema, 81",Ricardo de Albuquerque,21620-540,98094-4829,cmssantos@prefeitura.rio / dsn.nd22r@gmail.com,-22.83683929764454,-43.39876121937775,"http://maps.google.com/maps?q=&layer=c&cbll=-22.8368393,-43.39876122",,OK,"Natureza OP, unidade operacional ou diretoria operacional",,{6EADE434-6E02-4858-943A-F2E1492C0DA3}
98,DLU,NG14I,ND14V,Divisão de Serviços Vista Alegre,Operacional,Unidade operacional,OP,DIVISÃO,Unid. Oper.,45061000,14981.0,"Avenida São Félix, 539",Vista Alegre,21235-610,99174-2932,higor.barbosa@prefeitura.rio / comlurb_ng14v@rio.rj.gov.br,-22.83242457306538,-43.3130781899996,"http://maps.google.com/maps?q=&layer=c&cbll=-22.83242457,-43.31307819",,OK,"Natureza OP, unidade operacional ou diretoria operacional",,{6AD424FF-86BB-4389-92C6-36316FD06504}
99,DLU,LRN,NG25F,Gerência Fazenda Botafogo,Operacional,Unidade operacional,OP,GERÊNCIA,Unid. Oper.,45150000,14991.0,"Rua Pedro Iório, 525",Coelho Neto,21530-030,98094-6276,pedro.reis@prefeitura.rio / dsn.ng25f@gmail.com,-22.82585262427857,-43.35534564169626,"http://maps.google.com/maps?q=&layer=c&cbll=-22.82585262,-43.35534564",,OK,"Natureza OP, unidade operacional ou diretoria operacional",,{DE346F35-3984-4AC3-A10B-67D916CD77DD}
100,DLU,LRN,NG31V,Gerência Vigário Geral,Operacional,Unidade operacional,OP,GERÊNCIA,Unid. Oper.,45110000,18973.0,"Rua Fernandes da Cunha, 683",Vigário Geral,21241-300,98094-3912,nilton.fontoura@prefeitura.rio / dsn.ng31v@gmail.com,-22.81115542391595,-43.30907342141126,"http://maps.google.com/maps?q=&layer=c&cbll=-22.81115542,-43.30907342",,OK,"Natureza OP, unidade operacional ou diretoria operacional",,{F2DF8AF0-2EB7-4CE4-A58C-DCE9E1FE63F2}
101,DLU,NG31V,ND31J,Divisão de Serviços Jardim América,Operacional,Unidade operacional,OP,DIVISÃO,Unid. Oper.,45111000,18974.0,Rua Franz Liszt,Jardim América,21240-400,98094-3912,dsn.ng31j@gmail.com,-22.80796737114335,-43.32145220602641,"http://maps.google.com/maps?q=&layer=c&cbll=-22.80796737,-43.32145221",,OK,"Natureza OP, unidade operacional ou diretoria operacional",,{8383C07B-73A7-463E-848D-8A2EDF8C1798}
102,DLU,NG25F,ND25P,Divisão de Serviços Pavuna,Operacional,Unidade operacional,OP,DIVISÃO,Unid. Oper.,45151000,14992.0,"Avenida Sargento de Milícias, 811",Pavuna,21532-290,98094-6805,joaolsilva@prefeitura.rio / dsn.nd25p@gmail.com,-22.80428238603516,-43.36013366216062,"http://maps.google.com/maps?q=&layer=c&cbll=-22.80428239,-43.36013366",,OK,"Natureza OP, unidade operacional ou diretoria operacional",,{834FCE04-CF14-4156-A87D-5982D063158E}
103,DLU,SG02C,SD21P,Divisão de Serviços Paquetá,Operacional,Unidade operacional,OP,DIVISÃO,Unid. Oper.,41024000,14931.0,"Praia José Bonifácio, 31",Paquetá,20396-140,97471-5367,dss.sg02c@gmail.com,-22.76002994469349,-43.11031218074865,"http://maps.google.com/maps?q=&layer=c&cbll=-22.76002994,-43.11031218",,OK,"Natureza OP, unidade operacional ou diretoria operacional",,{4C231D48-1F3F-4CAD-81F3-245981103B96}
104,DLU,BG16F,BD34D,Divisão de Serviços Cidade de Deus,Operacional,Unidade operacional,OP,DIVISÃO,Unid. Oper.,46052000,48872.0,"Estrada do Gabinal, S/N, embaixo da Linha Amarela",Cidade de Deus,22763-153,994857046,nelsonbneto@prefeitura.rio / bg16fdsb@gmail.com,-22.95318606557313,-43.35718016499975,"http://maps.google.com/maps?q=&layer=c&cbll=-22.95318607,-43.35718016",,OK,"Natureza OP, unidade operacional ou diretoria operacional",,{851C178D-9551-4735-A2B7-26D6BCE307F1}
105,DSU,UCP,UGQ,Gerência Adjunta de Limpeza de Parques Municipais,Operacional,Unidade operacional,OP,GERÊNCIA ADJUNTA,Limp. Parq.,44131000,53302.0,"Rua Professor Carlos Wenceslau, 388",Realengo,21715000,,,-22.88020974301048,-43.43263278556194,"http://maps.google.com/maps?q=&layer=c&cbll=-22.88020974,-43.43263279",,OK,"Natureza OP, unidade operacional ou diretoria operacional",,{2D693838-4CE9-42DA-B77A-F48CB0415512}
106,DSU,UCP,UGQ03,Coordenadoria de Serviços Hospitalares e Prediais - Parque Carioca da Pavuna,Operacional,Limpeza hospitalar,,VIRTUAL,Limp. Parq.,44131103,53302.0,"Rua Marechal Guilherme, S/N",Pavuna,21650-290,,,-22.8170932316616,-43.37560093467263,"http://maps.google.com/maps?q=&layer=c&cbll=-22.81709323,-43.37560093",,OK,"Natureza OP, unidade operacional ou diretoria operacional","Setor virtual: pode aparecer como apoio/hierarquia, não necessariamente como ponto físico.",{A8B13072-9D0E-4A08-8854-DB03C82328D0}
107,DSU,UCP,UGQ05,Coordenadoria de Serviços Hospitalares e Prediais - Parque Cesário de Melo,Operacional,Limpeza hospitalar,,VIRTUAL,Limp. Parq.,44131105,53302.0,"Avenida Cesário de Melo, 6851",Inhoaíba,23059-002,,,-22.9135594162238,-43.59549581494527,"http://maps.google.com/maps?q=&layer=c&cbll=-22.91355942,-43.59549581",,OK,"Natureza OP, unidade operacional ou diretoria operacional","Setor virtual: pode aparecer como apoio/hierarquia, não necessariamente como ponto físico.",{CEA8A0CA-B90F-4987-979F-FE61BC8A7287}
108,PRE,PRE,PEP,Escritório de Gerenciamento de Projetos,Presidência,Convênio SMS,ADM,ESCRITÓRIO,"Unid. Adm., Unid. Oper., Conv. SMS",10230000,48894.0,"Rua Major Ávila, 358",Tijuca,20540-903,,,-22.92040663262603,-43.23310289783324,"http://maps.google.com/maps?q=&layer=c&cbll=-22.92040663,-43.2331029",,OK,Diretoria PRE ou termo de governança/presidência,,{7E191D73-96BD-42EA-9E3C-0F78497681F8}
109,PRE,PRE,PCA,Coordenadoria de Administração Executiva,Presidência,Convênio SMS,ADM,COORDENADORIA,"Unid. Adm., Unid. Oper., Conv. SMS",10270000,46077.0,"Rua Major Ávila, 358",Tijuca,20540-903,2567-3984,vanessa.franca@prefeitura.rio,-22.92040663262603,-43.23310289783324,"http://maps.google.com/maps?q=&layer=c&cbll=-22.92040663,-43.2331029",,OK,Diretoria PRE ou termo de governança/presidência,,{B3F99AA8-F3D1-473D-BE0A-7BA722FF3DEE}
110,PRE,PRE,PCI,Coordenadoria de Comunicação Integrada,Presidência,Convênio SMS,ADM,COORDENADORIA,"Unid. Adm., Unid. Oper., Conv. SMS",10290000,48892.0,"Rua Major Ávila, 358",Tijuca,20540-903,2214-7260,ana.reboucas@prefeitura.rio,-22.92040663262603,-43.23310289783324,"http://maps.google.com/maps?q=&layer=c&cbll=-22.92040663,-43.2331029",,OK,Diretoria PRE ou termo de governança/presidência,,{B7701411-F133-4B63-8139-95D8D916F97A}
111,PRE,PCI,PGH,"Gerência de Promoções, Eventos e Merchandising",Presidência,Convênio SMS,ADM,GERÊNCIA,"Unid. Adm., Unid. Oper., Conv. SMS",10291000,48885.0,"Rua Major Ávila, 358",Tijuca,20540-903,2214-7260,gisleyfreitas@prefeitura.rio,-22.92040663262603,-43.23310289783324,"http://maps.google.com/maps?q=&layer=c&cbll=-22.92040663,-43.2331029",,OK,Diretoria PRE ou termo de governança/presidência,,{CCAE2962-AD02-42BF-B0BD-14E1628FBDD9}
